storm,threshold_km,excess_log1p,density,mean_excess,n
Harvey (2017),10,1.6593186372745494,0.16464838073009871,3.3287329351356507,8719
Harvey (2017),10,1.6873747494989981,0.16491028022951437,3.3287329351356507,8719
Harvey (2017),10,1.7154308617234468,0.16508226982019591,3.3287329351356507,8719
Harvey (2017),10,1.7434869739478955,0.16516744196346578,3.3287329351356507,8719
Harvey (2017),10,1.7715430861723451,0.16516932848637106,3.3287329351356507,8719
Harvey (2017),10,1.7995991983967938,0.16509188609871497,3.3287329351356507,8719
Harvey (2017),10,1.8276553106212425,0.16493948638502204,3.3287329351356507,8719
Harvey (2017),10,1.8557114228456912,0.16471690975470657,3.3287329351356507,8719
Harvey (2017),10,1.88376753507014,0.16442934210044668,3.3287329351356507,8719
Harvey (2017),10,1.9118236472945895,0.1640823724026212,3.3287329351356507,8719
Harvey (2017),10,1.9398797595190382,0.16368198926400646,3.3287329351356507,8719
Harvey (2017),10,1.967935871743487,0.16323457437032626,3.3287329351356507,8719
Harvey (2017),10,1.9959919839679356,0.16274689112526675,3.3287329351356507,8719
Harvey (2017),10,2.0240480961923843,0.16222606715330185,3.3287329351356507,8719
Harvey (2017),10,2.052104208416834,0.1616795699297764,3.3287329351356507,8719
Harvey (2017),10,2.0801603206412835,0.16111517540269554,3.3287329351356507,8719
Harvey (2017),10,2.1082164328657313,0.16054093002895886,3.3287329351356507,8719
Harvey (2017),10,2.136272545090181,0.15996510708073602,3.3287329351356507,8719
Harvey (2017),10,2.1643286573146288,0.1593961583230216,3.3287329351356507,8719
Harvey (2017),10,2.1923847695390783,0.15884266218317172,3.3287329351356507,8719
Harvey (2017),10,2.220440881763528,0.1583132693202529,3.3287329351356507,8719
Harvey (2017),10,2.2484969939879758,0.15781664608214407,3.3287329351356507,8719
Harvey (2017),10,2.2765531062124253,0.15736141577052823,3.3287329351356507,8719
Harvey (2017),10,2.304609218436873,0.15695609700458316,3.3287329351356507,8719
Harvey (2017),10,2.3326653306613228,0.15660903788962155,3.3287329351356507,8719
Harvey (2017),10,2.3607214428857723,0.15632834427035772,3.3287329351356507,8719
Harvey (2017),10,2.38877755511022,0.15612180018663524,3.3287329351356507,8719
Harvey (2017),10,2.4168336673346698,0.15599677883726112,3.3287329351356507,8719
Harvey (2017),10,2.4448897795591176,0.1559601429445467,3.3287329351356507,8719
Harvey (2017),10,2.472945891783567,0.15601813440140355,3.3287329351356507,8719
Harvey (2017),10,2.5010020040080168,0.1561762544249908,3.3287329351356507,8719
Harvey (2017),10,2.5290581162324646,0.15643913703395662,3.3287329351356507,8719
Harvey (2017),10,2.557114228456914,0.15681042036190038,3.3287329351356507,8719
Harvey (2017),10,2.585170340681362,0.15729262193580268,3.3287329351356507,8719
