zip,n_edges,support_ratio_cdr,clustering_cdr,n_users,support_ratio_fb,clustering_fb
95815,298.0,0.43288590604026844,0.08368644685715285,579,0.74254,0.078390002
95684,339.0,0.5634218289085545,0.10754886119320595,410,0.89383,0.08619
94132,605.0,0.4049586776859504,0.09346209848163628,925,0.68109,0.089939997
94102,615.0,0.35772357723577236,0.08795512697141512,1220,0.68861997,0.078429997
93950,186.0,0.4731182795698925,0.094159369851423,350,0.88834,0.088229999
94704,782.0,0.33631713554987214,0.07584931052246113,1152,0.73275,0.089790002
95683,382.0,0.56282722513089,0.09816533038215673,422,0.95046997,0.081610002
94022,217.0,0.6405529953917051,0.12053323090265325,383,0.81440997,0.088799998
95354,1132.0,0.508833922261484,0.10201450907934155,1457,0.78192002,0.076300003
94306,76.0,0.3157894736842105,0.0762591465594593,183,0.84393001,0.092479996
95350,1255.0,0.4438247011952191,0.09225684595088111,1558,0.84803998,0.078850001
95064,578.0,0.3633217993079585,0.09321210248558091,588,0.72140002,0.098339997
95842,475.0,0.72,0.13137348561718687,579,0.71446002,0.082900003
95337,2465.0,0.5111561866125761,0.11149950445377779,1910,0.86944002,0.085670002
95361,2140.0,0.5032710280373832,0.11208049499350771,1606,0.97005999,0.094329998
94597,424.0,0.38207547169811323,0.08409151390154755,847,0.65324998,0.08777
94024,203.0,0.3645320197044335,0.07426989634072716,470,0.79987001,0.087839998
94803,1009.0,0.5213082259663032,0.10598092903745923,1268,0.81044,0.089079998
95110,102.0,0.45098039215686275,0.08735208962867157,253,0.58842999,0.083219998
95249,320.0,0.4375,0.10855064420955816,354,0.95267999,0.09747
94542,214.0,0.4485981308411215,0.0946694438982258,395,0.54732001,0.088699996
94087,569.0,0.43409490333919154,0.08477697770578328,1014,0.81193,0.093680002
95668,101.0,0.594059405940594,0.08053890364735967,165,0.81631565,0.09916883
95405,533.0,0.3977485928705441,0.08498729083270111,792,0.77309,0.085369997
94111,66.0,0.045454545454545456,0.04803586677953006,212,0.37720001,0.081809998
95030,343.0,0.49854227405247814,0.10670683932656448,518,0.80080998,0.08811
94705,114.0,0.23684210526315788,0.06081495435392216,264,0.60026997,0.082500003
94580,583.0,0.6174957118353345,0.11716736648383144,818,0.85067999,0.095430002
95002,96.0,0.5833333333333334,0.1351884291443788,150,0.75073999,0.093079999
95814,261.0,0.28735632183908044,0.0621793592317379,528,0.64851999,0.081380002
95446,399.0,0.5864661654135338,0.10510332254623728,464,0.94358999,0.093259998
95046,204.0,0.44607843137254904,0.09254620655361999,371,0.70613003,0.08856
94601,1182.0,0.5177664974619289,0.09877266011581189,1428,0.84451002,0.080169998
94515,622.0,0.6028938906752411,0.12352013602517477,569,0.98136997,0.10374
94590,916.0,0.42358078602620086,0.09148554642129218,953,0.87295997,0.084100001
94114,174.0,0.29310344827586204,0.055658062275878016,475,0.82055998,0.06696
95824,980.0,0.47959183673469385,0.10562280248196884,1263,0.74962002,0.081490003
94710,164.0,0.34146341463414637,0.06584262414090565,375,0.62809002,0.08207
94005,157.0,0.46496815286624205,0.08211039841929739,258,0.71298999,0.082110003
95005,114.0,0.47368421052631576,0.08374890102444281,225,0.88643998,0.092869997
94108,368.0,0.328804347826087,0.079046622063457,766,0.36599001,0.081739999
95358,2515.0,0.5749502982107356,0.11711031306508478,1952,0.84110999,0.08416
